libspng 0.7.4-4
libsrtp 1:2.8.0-1
libssc 0.4.2-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsynctex 2026.0-1
libsysprof-capture 50.0-1
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-2
libtirpc 1.3.7-1
libtool 2.6.0-4
libtpms 0.10.2-1
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 7.0-1
libunistring 1.4.1-1
libunwind 1.8.2-1
libupnp 1.14.26-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.29-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libva-intel-driver 2.4.1-6
libvdpau 1.5-4
libverto 0.3.2-6
libvlc 3.0.22-3
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwbclient 2:4.24.0-1
libwebp 1.6.0-2
libwireplumber 0.5.14-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxml2 2.15.2-1
libxmlb 0.3.26-1
libxmu 1.3.1-1
libxpm 3.5.18-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.26.4-1
linux 6.19.11.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260309-1
linux-firmware-amdgpu 20260309-1
linux-firmware-atheros 20260309-1
linux-firmware-broadcom 20260309-1
linux-firmware-cirrus 20260309-1
linux-firmware-intel 20260309-1
linux-firmware-mediatek 20260309-1
linux-firmware-nvidia 20260309-1
linux-firmware-other 20260309-1
linux-firmware-radeon 20260309-1
linux-firmware-realtek 20260309-1
linux-firmware-whence 20260309-1
lld 22.1.3-1
lldb 22.1.3-1
llhttp 9.3.1-1
llvm 22.1.3-1
llvm-libs 22.1.3-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
localsend 1.17.0-3
loupe 50.0-1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-2
lsof 4.99.6-1
lua 5.5.0-2
lua-luarocks 3.13.0-5
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1774896198+18b087c-1
luarocks 3.13.0-5
lv2 1.18.10-2
lynis 3.1.6-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
malcontent 0.14.0-4
man-db 2.13.1-1
man-pages 6.17-1
mat2 0.14.0-2
maven 3.9.14-1
md4c 0.5.2-2
mdadm 4.6-1
media-player-info 26-1
mercurial 7.2.1-1
mesa 1:26.0.4-1
meson 1.10.2-1
metasploit 6.4.127-1
mhash 0.9.9.9-7
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10
modemmanager 1.24.2-1
modemmanager-qt 6.25.0-1
mousepad 0.7.0-1
mpc 0.35-2
mpd 0.24.9-2
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-3
mpv-mpris 1.2-1
msgpack-c 6.1.0-2
msgraph 0.3.4-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.9-1
muparser 2.3.5-2
mutter 50.1-1
nano 9.0-1
nasm 3.01-1
nautilus 50.1-1
ncdu 2.9.2-1
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.1-1
net-snmp 5.9.5.2-1
netbeans 26-1
netpbm 10.86.49-2
nettle 3.10.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-2
nmap 7.99-2
node-gyp 12.2.0-1
nodejs 25.9.0-1
nodejs-nopt 9.0.0-1
noto-fonts 1:2026.04.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.1-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
nvtop 3.3.2-1
nwg-displays 0.3.28-1
nwg-look 1.0.6-1
obsidian 1.12.7-1
ocl-icd 2.3.4-1
ollama 0.20.7-1
oniguruma 6.9.10-1
openal 1.25.1-1
opencore-amr 0.1.6-2
openexr 3.4.9-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.27.0-1
openssh 10.3p1-1
openssl 3.6.2-1
opus 1.6.1-1
orc 0.4.42-1
orca 50.1.2-1
os-prober 1.84-1
osinfo-db 20251212-1
ostree 2025.7-3
otf-font-awesome 7.2.0-1
p11-kit 0.26.2-1
packettracer 9.0.0-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260406-1
pam 1.7.2-2
pambase 20250719-1
pamixer 1.6-4
pango 1:1.57.1-1
pangomm 2.46.4-2
pangomm-2.48 2.56.1-1
parallel 20260322-1
parted 3.7-1
patch 2.8-1
patchelf 0.18.0-4
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-image-exiftool 13.55-1
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
php 8.5.5-1
pinentry 1.3.2-2
pipewire 1:1.6.3-1
pipewire-alsa 1:1.6.3-1
pipewire-audio 1:1.6.3-1
pipewire-jack 1:1.6.3-1
